wl_home,fga_home,fg_pct_home,fg3a_home,fg3_pct_home,fta_home,ft_pct_home,oreb_home,dreb_home,stl_home,blk_home,tov_home,fga_away,fg_pct_away,fg3a_away,fg3_pct_away,fta_away,ft_pct_away,oreb_away,dreb_away,stl_away,blk_away,tov_away
W,84,0.452,28,0.179,23,0.565,11,46,6,7,15,96,0.344,35,0.257,16,0.875,11,33,9,7,8
L,78,0.449,25,0.32,20,0.85,8,29,2,3,15,79,0.494,28,0.5,21,0.762,5,29,11,7,8
L,92,0.37,35,0.314,19,0.789,10,23,7,3,4,80,0.513,18,0.278,27,0.815,13,45,3,5,14
L,75,0.52,28,0.393,22,0.864,9,29,7,2,14,78,0.487,35,0.486,20,0.9,8,23,5,4,11
W,79,0.506,27,0.296,20,0.8,6,39,4,4,10,96,0.406,39,0.333,2,1,11,32,5,4,8
L,82,0.39,42,0.214,13,0.846,10,30,6,4,15,86,0.488,28,0.5,6,0.833,7,35,7,2,14
L,93,0.355,30,0.467,29,0.793,17,30,5,4,5,78,0.436,35,0.2,34,0.853,12,35,4,8,12
W,79,0.506,39,0.41,19,0.737,12,25,13,4,10,78,0.513,23,0.391,10,0.8,10,26,6,2,16
L,78,0.436,32,0.25,28,0.821,12,32,5,2,16,84,0.512,45,0.4,18,0.667,7,32,8,8,10
L,86,0.465,20,0.4,26,0.885,8,30,5,4,6,85,0.482,33,0.364,22,0.864,11,29,3,9,11
W,81,0.568,35,0.543,21,0.81,1,34,7,4,10,98,0.398,42,0.262,17,0.765,21,36,3,3,15
L,84,0.452,32,0.313,29,0.759,11,34,3,2,12,88,0.5,41,0.415,19,0.737,5,34,7,1,6
L,79,0.468,35,0.286,24,0.875,6,29,2,9,15,92,0.457,26,0.346,19,0.947,11,34,9,5,11
W,89,0.438,38,0.368,18,0.889,11,38,8,2,17,82,0.439,30,0.267,26,0.885,4,36,10,7,12
L,81,0.519,29,0.345,29,0.759,9,25,6,3,15,85,0.541,31,0.516,19,0.789,7,28,12,3,15
W,91,0.549,32,0.469,22,0.773,15,32,5,7,11,84,0.548,24,0.458,26,0.885,5,25,6,4,7
W,87,0.471,33,0.455,18,0.833,7,36,7,7,8,83,0.373,37,0.216,19,0.947,7,30,4,7,14
W,75,0.52,26,0.5,42,0.738,6,40,6,6,7,103,0.379,48,0.271,14,0.714,20,33,3,2,11
W,82,0.402,27,0.259,25,0.92,7,33,8,2,7,71,0.38,35,0.286,32,0.875,8,33,2,9,12
L,83,0.361,34,0.235,19,0.947,6,32,14,7,12,78,0.423,35,0.429,16,0.875,6,44,7,6,18
L,79,0.481,28,0.393,20,0.65,2,27,3,5,14,82,0.537,22,0.364,31,0.935,7,34,10,3,11
W,71,0.493,34,0.382,40,0.725,14,36,6,4,19,88,0.42,43,0.302,19,0.842,11,23,11,4,12
W,92,0.511,35,0.371,15,0.933,9,39,8,5,16,87,0.483,27,0.37,15,0.8,7,31,6,4,14
L,83,0.398,38,0.316,34,0.735,9,27,4,1,8,79,0.506,30,0.4,27,0.852,9,40,4,5,13
W,85,0.494,27,0.481,28,0.75,10,40,6,6,10,88,0.432,27,0.333,24,0.708,8,34,6,7,10
W,86,0.453,25,0.24,20,1,8,34,8,1,14,86,0.465,41,0.293,12,0.75,9,31,9,2,16
W,85,0.471,39,0.333,22,0.727,13,31,7,4,13,76,0.487,28,0.321,24,0.75,8,27,5,4,17
